epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1642,1.59171,5.92472,0.00836,0.00021,0.0317,3e-05,2e-05,1.42286,4.92408,0.00767,0.00015,0.00015,0.00015
2,15.0225,1.71645,5.50885,0.00824,0.00355,0.08934,0.00677,0.00644,1.43705,4.85227,0.00772,0.000297031,0.000297031,0.000297031
3,16.8099,1.5841,5.55177,0.00817,0.00493,0.14722,0.00528,0.00171,1.43454,4.78294,0.00812,0.000427975,0.000427975,0.000427975
4,18.4083,1.55847,5.37728,0.00727,0.0036,0.15232,0.006,0.00266,1.39425,4.69783,0.00791,0.000542831,0.000542831,0.000542831
5,19.9533,1.47806,5.11739,0.0062,0.00554,0.27647,0.02289,0.01458,1.36355,4.46592,0.00802,0.0006416,0.0006416,0.0006416
6,21.4892,1.45925,4.77414,0.00699,0.00842,0.38938,0.05358,0.0298,1.31369,4.20384,0.00739,0.000724281,0.000724281,0.000724281
7,23.0361,1.39118,4.93457,0.00595,0.87201,0.03898,0.09098,0.04713,1.3836,3.96085,0.00784,0.000790875,0.000790875,0.000790875
8,24.5245,1.52788,4.92832,0.00687,0.82571,0.09184,0.10687,0.05425,1.3761,3.91067,0.00785,0.000816875,0.000816875,0.000816875
9,26.5466,1.60092,5.17312,0.00719,0.84367,0.08673,0.09564,0.05132,1.36505,3.84991,0.00761,0.000755,0.000755,0.000755
10,28.0703,1.52304,5.31861,0.00669,0.83969,0.08673,0.09888,0.05273,1.36847,3.83573,0.00752,0.000693125,0.000693125,0.000693125
11,38.0783,1.31158,4.92003,0.00713,0.77414,0.11291,0.11152,0.06149,1.4061,3.77379,0.00798,0.00063125,0.00063125,0.00063125
12,39.5945,1.39112,4.80937,0.00731,0.66688,0.17236,0.12285,0.06834,1.40606,3.60307,0.0076,0.000569375,0.000569375,0.000569375
13,41.0917,1.41456,4.8262,0.01136,0.66253,0.15601,0.12107,0.07066,1.43356,3.56088,0.00785,0.0005075,0.0005075,0.0005075
14,42.5604,1.34318,4.55213,0.00736,0.65809,0.15402,0.12618,0.07382,1.38462,3.50981,0.00748,0.000445625,0.000445625,0.000445625
15,44.0493,1.29953,4.90783,0.00733,0.65104,0.14752,0.12817,0.0731,1.36658,3.45002,0.00735,0.00038375,0.00038375,0.00038375
16,45.5453,1.34012,4.37447,0.00688,0.65379,0.15262,0.13,0.07564,1.35087,3.44512,0.00741,0.000321875,0.000321875,0.000321875
17,47.0384,1.31578,4.42765,0.00691,0.65288,0.16972,0.13353,0.07843,1.35257,3.38135,0.00753,0.00026,0.00026,0.00026
18,48.5203,1.34097,4.97351,0.00673,0.67323,0.16792,0.13373,0.08013,1.3557,3.35093,0.00745,0.000198125,0.000198125,0.000198125
19,50.0129,1.36329,5.00443,0.00743,0.68266,0.16792,0.13534,0.0826,1.32641,3.31215,0.00715,0.00013625,0.00013625,0.00013625
20,51.5072,1.22961,4.46522,0.00707,0.67315,0.16792,0.13568,0.08289,1.3143,3.28709,0.00698,7.4375e-05,7.4375e-05,7.4375e-05
