epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.01371,1.42003,3.49772,0.0069,0.19073,0.36346,0.31613,0.17757,1.35767,2.35914,0.00754,0.0003,0.0003,0.0003
2,5.95611,1.40011,3.05598,0.00638,0.49965,0.29239,0.26022,0.15375,1.40302,2.43629,0.00805,0.00060492,0.00060492,0.00060492
3,8.80116,1.4272,2.89543,0.00637,0.44984,0.33771,0.27038,0.16527,1.35123,2.17605,0.00748,0.000902106,0.000902106,0.000902106
4,11.6331,1.37663,2.9583,0.00607,0.53164,0.30695,0.32053,0.19365,1.41115,2.09474,0.00797,0.00119156,0.00119156,0.00119156
5,14.4544,1.34101,2.89172,0.00651,0.34186,0.41122,0.39376,0.25402,1.35953,2.18418,0.00764,0.00118812,0.00118812,0.00118812
6,17.2691,1.27053,2.5687,0.00578,0.50045,0.44062,0.39149,0.23993,1.33123,1.97235,0.00731,0.00117266,0.00117266,0.00117266
7,20.0633,1.36111,2.71149,0.00644,0.42839,0.34306,0.36526,0.20561,1.38901,2.07226,0.00788,0.00115719,0.00115719,0.00115719
8,22.883,1.31813,2.62685,0.00639,0.49603,0.41043,0.40218,0.25873,1.2763,1.91189,0.00702,0.00114172,0.00114172,0.00114172
9,25.9172,1.36275,2.492,0.00617,0.50889,0.39507,0.43959,0.30169,1.30527,1.72768,0.00732,0.00112625,0.00112625,0.00112625
10,28.7387,1.44225,2.53962,0.00692,0.45785,0.41187,0.3726,0.23456,1.44127,1.82008,0.00768,0.00111078,0.00111078,0.00111078
11,31.5517,1.29942,2.51147,0.00643,0.76255,0.30581,0.47381,0.30729,1.3164,1.82887,0.00735,0.00109531,0.00109531,0.00109531
12,34.3788,1.3428,2.32231,0.0064,0.56578,0.45735,0.46115,0.27444,1.39505,1.75812,0.00814,0.00107984,0.00107984,0.00107984
13,37.2,1.33951,2.22243,0.00638,0.63404,0.36851,0.45243,0.28858,1.45802,1.78385,0.00836,0.00106437,0.00106437,0.00106437
