epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.96934,1.56986,11.772,0.0081,0.09854,0.05032,0.0531,0.02852,1.28855,8.70686,0.00718,0.0003,0.0003,0.0003
2,7.92536,1.36329,6.23635,0.00652,0.08287,0.18373,0.1051,0.05489,1.39183,5.46623,0.00825,0.000582181,0.000582181,0.000582181
3,10.6468,1.3847,4.03788,0.00637,0.21539,0.26405,0.13619,0.07569,1.3134,3.99686,0.00764,0.000833425,0.000833425,0.000833425
4,13.3619,1.32402,3.24651,0.00602,0.24029,0.33383,0.24829,0.13279,1.42101,2.841,0.00824,0.00105373,0.00105373,0.00105373
5,16.0921,1.37223,2.69595,0.00683,0.32831,0.45904,0.35582,0.21431,1.44188,2.53461,0.0082,0.0010025,0.0010025,0.0010025
6,18.8633,1.33383,2.23092,0.00629,0.36661,0.38031,0.281,0.17215,1.4341,2.63024,0.00805,0.000940625,0.000940625,0.000940625
7,21.5095,1.41545,2.10867,0.0068,0.53576,0.32212,0.31277,0.17888,1.4724,2.14872,0.00825,0.00087875,0.00087875,0.00087875
8,24.1723,1.36358,2.06287,0.00701,0.42296,0.44337,0.42076,0.27185,1.4718,1.96274,0.00805,0.000816875,0.000816875,0.000816875
9,26.8723,1.3422,1.81865,0.00637,0.44886,0.42119,0.42754,0.2693,1.44734,1.82482,0.00781,0.000755,0.000755,0.000755
10,29.4946,1.34756,1.835,0.00652,0.50751,0.39993,0.48361,0.31252,1.38369,1.73081,0.00739,0.000693125,0.000693125,0.000693125
11,40.2012,1.19337,1.64673,0.00685,0.53755,0.48899,0.51504,0.31139,1.31347,1.66089,0.00762,0.00063125,0.00063125,0.00063125
12,44.0404,1.18333,1.54971,0.00714,0.55033,0.4487,0.53907,0.33398,1.31969,1.55702,0.00724,0.000569375,0.000569375,0.000569375
13,48.8252,1.22397,1.47856,0.00702,0.62511,0.46827,0.56661,0.35495,1.32048,1.61032,0.00695,0.0005075,0.0005075,0.0005075
14,51.8809,1.16893,1.34349,0.007,0.61025,0.61018,0.60776,0.35125,1.44528,1.5509,0.0079,0.000445625,0.000445625,0.000445625
15,54.4489,1.16007,1.35806,0.00703,0.5813,0.65824,0.59781,0.35191,1.32049,1.58578,0.00722,0.00038375,0.00038375,0.00038375
16,57.0616,1.09851,1.22297,0.00693,0.46009,0.65025,0.57747,0.36354,1.28526,1.56623,0.00706,0.000321875,0.000321875,0.000321875
17,59.7183,1.11325,1.21181,0.00665,0.45081,0.66601,0.59309,0.37204,1.28756,1.57942,0.00709,0.00026,0.00026,0.00026
18,62.4141,1.1201,1.1716,0.00648,0.54846,0.55,0.59518,0.3486,1.28797,1.5121,0.00707,0.000198125,0.000198125,0.000198125
19,65.0127,1.04718,1.17242,0.00615,0.54542,0.64883,0.6265,0.36722,1.2582,1.46805,0.00678,0.00013625,0.00013625,0.00013625
20,67.5845,1.04919,1.1558,0.0061,0.57443,0.67015,0.62601,0.3668,1.2565,1.45085,0.00674,7.4375e-05,7.4375e-05,7.4375e-05
